document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	1	1	【表表紙】天保漂流記　全【右丁】	天保漂流記　全
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	1	2	童蒙写之誤	童蒙の書き写しの誤り
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	1	3	字多読者察而可見【左丁】　【朱字囲み】九州帝国大学図書印	文字の多い箇所は読者が注意深く見れば分かること
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	2	1	天保漂流記	天保漂流記
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	2	2	遠州城東郡沖之沢村仙太郎と　申船頭漂流之事	遠州城東郡沖之沢村の仙太郎という船頭の漂流の事
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	1	一遠州佐野郡高御所村八郎左衛門持舩昇栄　丸仙太郎沖船頭にして水主辰蔵松之助　右三人乗ニて御廻船ニ米を積入	一、遠州佐野郡高御所村の八郎左衛門が所有する船「昇栄丸」に、沖船頭である仙太郎と水主の辰蔵・松之助の三人が乗り組み、御廻船に米を積み入れました。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	2	但し横須賀　様横松様其外御旗本様方米又ハ炭等　色々積入申候	ただし、横須賀様、横松様、その他の御旗本様方への米や炭など様々なものを積み込んでおりました。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	3	従是四ヶ年以前天保十《割書：亥｜》【右丁】　十月朔日同国名郡福田湊を出帆致し　候所順風あしくし列鳥羽湊へ吹流され　	これより四年前の天保十年（亥年）十月一日、同国山名郡の福田湊を出帆いたしましたところ、順風が悪く、たちまち鳥羽湊へ吹き流されました。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	4	爰にて日和を見合同十二日鳥羽を出帆いたし　候所戌亥風強く次第に沖へ吹出され遠　州横須賀沖‾ニ而其日暮に及ひ其夜増々　風強く終に梶を打折横流に相成	ここで日和を見て、同十二日に鳥羽を出帆いたしましたところ、戌亥（北西）の風が強く、次第に沖へ吹き出され、遠州横須賀沖に。そしてその日が暮れ、その夜はますます風が強まり、ついに舵を折り、横流れとなりました。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	5	明れ　は十三日想ひの外沖へ流され是非な　く荷物をなけすて船脚をかるめ御【左丁】　産宮様金毘羅様へ立願居たく候得とも　伊豆の嶋へも八丈か嶋も取付事叶わす	明けて十三日、思いのほか沖へ流され、やむなく荷物を投げ捨て船足を軽くし、御産宮様・金毘羅様へ祈願いたしましたが、伊豆の島へも八丈ヶ島へも取り付くことは叶いませんでした。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	6	其日も暮に及ひ同十四日猶々沖へ遠く　ながれ行詮方なく帆柱を切捨候内に冨　士山少し見へたり隠れたり口惜や日本は　遠くなりしと思ふ内終にひぐ日暮に相成同　十五日最早日本も見へす西も東も海上の　広き處と云なから鳥の住むへき山もなく【右丁】　嶋の形もなく	その日も暮れ、同十四日になってもなお沖へ遠く流され、やむなく帆柱を切り捨てましたが、そのうちに富士山がかすかに見えたり隠れたり。悔しいことに日本は遠ざかっていくと思いながら、ついに日が暮れて同十五日となり、最早日本も見えず、西も東も海上の広い所とはいえ、鳥の住むべき山もなく島の形もありませんでした。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	7	夫より日々沖へ〳〵と流れ　行磁石をすへて見渡せは東南へ流れ　行最早三人力なく叶わぬ事と思ひ詰　三人ともに貯の着物を着替て西に向ひ　手を合わ合念仏の外他事なし	それから日々沖へ沖へと流されていった。磁石で方角を確かめると、東南へ流されている。最早三人の力ではどうにもならないと思い詰め、三人そろって貯めていた着物に着替え、西に向かって手を合わせ、念仏を唱える以外にできることは何もなかった。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	8	譬此　侭息絶して身は大海の鯨のえしきと　成はとてたましひは三人諸共に浄土の蓮　基へ向へ給へと三人の身をは一ッに結付大　【左丁】　声上て泣ながら念仏唱へて喰す働す　三四日死するを待て寝ているうち段々　日和も直りけれは終又起てあか引船をし　つらひ居る内段々沖へ流も行	このまま息絶えて身が大海原の鯨の餌となってしまうとしても、せめて魂だけは三人そろって浄土の蓮台へ向かわせてくださいと、三人の体を一つに縄で結び付け、大声を上げて泣きながら念仏を唱え、食を断って三四日、死を待つばかりに横たわっていた。すると次第に天候が回復したため、ついに再び起き上がり、帆の修理に取りかかるうちに、また沖へ沖へと流されていった。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	9	日数立程呑　水もなく雨水の醤油の様なる水にて　命を繋義送る月日も早過て今年も大晦　日と成りぬ来る正月もはや立て二月になれ　とも次第〳〵に流れ行何程遠く成やらん【右丁】　其方角は相知れす格別風も吹されは海も　浪もなく廿日余りも仕方もなきに付悲し　き中の楽みに角針にて釣をせし所三尺程　の鰤抔を十四五本つゝもつり揚たる日も有	日が経つにつれ飲み水もなく、雨水の醤油のような水で命をつなぐ月日は早く過ぎ、今年も大晦日となった。来る正月もやがて立ち、二月になっても次第に流されていく。どれほど遠くになったか、その方角は分からず、特に風が吹くわけでもなく海は波立たず、二十日余りもどうしようもない状況だった。悲しみの中の楽しみに釣り針で釣りをしたところ、三尺ほどの鰤などを十四、五本ずつ釣り上げる日もあった。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	3	10	去は六月迄は日和には釣をして日を送けれ　とも何分水にふ自由いたし命危き事　既に十五度程も漸々凌き九月十日に成て　も暑さは替ることもなく冬もじゆばん【左丁】　袷にて暮し居候所子の年も大晦日にな　り又も灘にて年とりいたし二度の年を　取たる悲みふ自由成事云事なし	六月までは晴れた日には釣りをして日を過ごしていたが、何分水を自由に飲むこともできず、命の危険にさらされること十五度ほどをようやく凌いだ。九月十日になっても暑さが変わることもなく、冬は木綿の袷で暮らしていた。丑年も大晦日となり、またも海上で年を越すこととなった。二度の年を取った悲しみと不自由さは言いようもない。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	1	最早今年は丑の春又も替らぬ浪の　上唐天竺も見へもせす日を送り去れは　正月廿七日夕方はるか向ふに山か雲かと見　ゑけれは余り古郷の恋しさに汐ごり　取て三人失念の上にひさまずき氏神【右丁】　様や金毘羅様伊勢大神宮西国三十　三所観音様利生あらたに我等三人露の　命をなからへて日本の地を踏せて□□　ふと泣ては拝み唱へては又繰返し唱ふ　内夜は暁の空とは成て霞かゝりて誠に　□のことくなり	最早今年も丑年の春、変わらぬ波の上で唐や天竺も見えぬ日々を送り、正月二十七日の夕方、遥か前方に山か雲かと見えるものがあった。あまりの故郷恋しさに、三人は海水を掬って必死にひざまずき、氏神様や金刀比羅宮、伊勢神宮、西国三十三所の観音様に「どうか新たな御利益を授け、私たち三人が露のように儚い命ながらえ、日本の地を踏ませてください」と泣きながら拝み、唱えてはまた繰り返し祈った。そのうち夜が明け方の空となり、霞がかかって誠にはかなくなり。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	2	其内少々霞みも晴　けれは何国の方ゟ来り候哉	やがて霞が少し晴れると、どこの国の方から来たのであろうか。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	3	船壱艘参り　手を合拝み候へは其時船漕寄て来れ【左丁】　とも物とふても知れもせす一向訳は知れ　されとも助けてもらひたく船へ乗込申　候	船が一隻現れ、手を合わせて拝んでいると、その船が漕ぎ寄せて来た。言葉を交わすこともできず、事情が全く分からなかったが、助けてもらおうと船へ乗り込んだ。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	4	其時唐人口を明て物食ふ真似を仕候　間うなづき申候	その時、中国人が口を開けて食事の真似をしたので、頷いた。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	5	夫ゟ船へ乗移り私共の着　残らす取調次に飯米五六俵積申候	それから船に乗り移り、私たちの着ていた物を残らず調べた後、飯米五、六俵を積み込んだ。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	6	尤　ぬら俵にて糀の如く花付申候	ただし、濡れ俵の中の米には糀が花のように付いていた。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	7	又何か申　せとも一向わかり申さず又手を出して　指をおり幾度もかそへて見せ候故是は【右丁】　人数の事かとそんじ指を三本出して見　せけれは是にて合点致し	また何か言われても全く分からず、手を出して指を折り、幾度も数えて見せるので、これは人数のことを言っているのかと推測し、指を三本立てて見せた。これでようやく納得したようだ。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	8	此時元船は乗放　し申候	この時、元の船は乗り放しにした。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	9	丑正月廿八日五ッ時に候唐人船の大　きさは私共の元船の如く中に老母嫁小　児ともに八人乗にて外に類船艘＿レ壱見へ候	丑年正月二十八日五つ時（午前8時頃）、唐人船の大きさは私たちの元の船と同じくらいで、中には老婆・嫁・子供を含む八人が乗っており、外には同型の船が一艘見えた。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	10	是は手繰道具の様なる物にてぎょ漁船と覚　申候	これは手繰り道具のようなもので、漁船と思われた。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	11	夫より私ともは板子の下へ這入休み　申候	それから私たちは板子の下へ入って休んだ。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	12	七ッ時に至りて彼湊へ着申候	七つ時になって、その港に到着した。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	13	何卒【左丁】　船に泊り度思ひ候所唐人失念の上にて呼り　申候	どうか船に泊まりたいと思っていたところ、中国人がうっかり呼び出した。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	14	得其所の者大勢来り相談いたし　夫より私ともの手をとり無理に引出し　申候間是非なく上陸いたし申候	現地の役人が大勢来て相談し、私たちの手を取って無理矢理引き出したので、やむなく上陸した。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	15	其　時見物人夥敷群集して市の如く夫　より唐の役所へ出時は唐人に伴れて役所　評定に及けり	その時、見物人がおびただしく群がり市のようであった。それから唐の役所へ出向く際は中国人に伴われ、役所での審議に及んだ。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	16	尤青石を敷たる玄関　にて役人申けるは自（ジ）何（カ）方（ホウ）来（ライ）漂（ヒヤウ）流（リウ）人（ジン）委（イ）細（サイ）　《割書：いつかたよりきたるなかれたゞよひとつぶさにもう｜》【右丁】　言（ゴン）上（シヤウ）早（サ）言々（コン〳〵）私共には一向わかり不申《割書：してはやくもうしあけという｜》　挨拶は出来不申	青石を敷いた玄関で役人が「どこの国から来た漂流者か、早く詳細を述べよ」と言ったが、私たちには全く理解できず、挨拶もできなかった。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	17	其時連出候考　吾（ゴ）々（ゴ）早（サウ）旦（タン）見（ケン）此（シ）船（セン）灘（ナン）中（チウ）不（フ）知（チ）面（メン）体（タイ）流（ヒウ）流（ヒウ）漂（リウ）人（シン）自（ジ）《割書：われ〳〵はやかつみるにこすふねなくなりずしらめんていをたゝふうなかれひとは｜》　何（カ）国（コク）来（ライ）問（モン）聞（モン）一（イツ）向（コウ）不（フ）言（ゴン）無（ム）答（トウ）ト云《割書：いづかたのくにゟきたるときけともいついわすこたへす｜》　何を申も此通り浦賀の御切手并横須賀　様の御手形を差出せは西尾隠岐の守といふ　字をさいびいんじやと読様子に御座候	その時連れ出された際のことである。私たちは早朝からこの船が灘中を漂流する様子を知らない者たちに「どこの国から来た漂流者か」と問われたが、全く返答できなかった。何を言おうと、このように浦賀の御切手や横須賀様の御手形を差し出せば、西尾隠岐守という字を「サイビインジャ」と読むような有様であった。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	18	読　西尾隠岐守【右におくり字】　と音の違にて何の用に立ものは無御座候	西尾隠岐守と音の違いで、何の役にも立たないものであった。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	19	夫ゟ【左丁】　脇へ蓮行八畳敷の所に置夕飯くれ申候	その後、の脇にある蓮模様の八畳敷きの部屋に案内され、夕飯を与えられた。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	4	20	此所に　三十日居る内一向応体出来不申候	この場所に三十日いるうちに、全く対応することができなかった。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	5	1	仕方なく　唐人云付を拵へ見せ候へ共私共は日本通用の文　字さへ何程もそんし不申　漢（かんふん之）文字の義は　何にも読不申	仕方なく中国人の指示書を拵えて見せたが、私どもは日本の文字さえまともに理解できず、漢字の意味など何一つ読めなかった。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	5	2	尤日本と云字計知れ申　候間仕方なくうなづき申候	尤も日本という字だけは知れましたので、仕方なく頷きました。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	5	3	是ゟ日本と　云事知れ申候後に左保（サホ）え参り通辞に　承り少々分り申候	これより日本ということが分かった後、紋故宗のもとへ行き、通訳の説明を受けて少し理解できるようになりました。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	5	4	漂着の所名を奥門【右丁】　と申船着の町にて家は一統土蔵作りにて　床なし板敷計にて敷物は無之人は至つ　て正直に御座候	漂着した場所の名を奥門という港町で、家は全て土蔵造りで畳はなく板張りばかり、敷物もない。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	5	5	時に唐の年号通光二十　一年《割書：辛｜丑》暦中の決合相知れ不申日本　にては丑の年正月閏也唐にては三月の　閏に御座候	人々は非常に正直でございました。この時、唐（中国）の年号・通光21年（1841年）において、暦の調整がつかず、日本では丑年の閏正月、唐では三月の閏月でございました。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	5	6	夫より私共は其日に連出され　百五十石計の船にて磯伝へに送られ申候	それから私どもはその日に連れ出され、百五十石ほどの船で磯伝いに送られました。
KUL/03D650D6D7F62CC7C7DF6B086801E0C5	5	7	辰巳の方向て南方に山有能湊にて天気【左丁】　替れは所々へ船を付参る途中にて岡へ指を差　廣東と云都にてこの此国の王の城有と申候	辰巳（南東）の方角に、南方に山のある港があり、天気が変わるたびに所々へ船を付けながら進む途中、岡を指さして「広東」という都で、この国の王の城があると申しました。
