document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/290E62ACC160E08117E71CE98ED5F096	1	1	【表紙】《題：異國見聞記》	『題：異国見聞記』
KUL/290E62ACC160E08117E71CE98ED5F096	1	2	文化六年藝州生口嶋瀬戸田町　船人善藏【紙片折り返し】【表紙・前コマと同じ】《題：異國見聞記》　文化六年藝州生口嶋瀬戸田町　船人善藏摂州大坂西横堀冨田屋吉左衛門船廿七反帆　小豆嶋　小豆嶋　一沖船頭三治郎　一水主　善四郎　阿州　大坂　一水主　弥兵衛　一同　真助　塩飽　淡路　一同　浅之助　一同　弥吉　讃州　塩飽　一同　新蔵　一同　歌之助　備中　一同　與吉　一同　秀左衛門　肥州かばゝま　一同　久治郎　一同　半兵衛　豊しま　藝州瀬戸内生口嶋　一水主　重吉　一同　善蔵　荷物綿油七嶋表　着類古手　其外拾ひ荷物ニ而御座候	文化六年、芸州生口島の瀬戸田町の船人・善蔵が、摂津大坂西横堀の冨田屋吉左衛門船（二十七反の帆を備えた小豆島の小豆島一沖船）にて、船長・三治郎、水夫・善四郎（阿波の大坂）、水夫・弥兵衛（同組）、真助（塩飽・淡路）、浅之助（同組）、弥吉（讃州・塩飽）、新蔵（同組）、歌之助（備中）、與吉（同組）、秀左衛門（肥州樺山）、久治郎（同組）、半兵衛（豊島）、水夫・重吉（芸州瀬戸内の生口島）らと共に乗組み、荷物は綿油、七島表の着物類、古手、その他拾い荷物でございました。
KUL/290E62ACC160E08117E71CE98ED5F096	1	3	右は大坂ゟ江戸表へ荷物積越之菱垣船ニ而御座候	右は大坂より江戸表へ荷物を積み越す菱垣船でございました。
KUL/290E62ACC160E08117E71CE98ED5F096	1	4	大坂川口出帆【其帆？】	大阪川口を出帆
KUL/290E62ACC160E08117E71CE98ED5F096	1	5	去巳十月十六日順風ニ而泉《見せ消ち：路｜》紀之路也追風ニ艀り程なく遠州灘も渡り是ゟ相模灘もかゝりせ候ひ【文法不明】ニ逢	去る巳の年十月十六日、順風に恵まれ泉《見せ消ち：路》紀伊路を追風に乗って進み、程なく遠州灘も渡り、ここから相模灘へと進みました。
KUL/290E62ACC160E08117E71CE98ED5F096	1	6	長釣《場所：渕崎》網代へ入れ彼是廿九日迄ニ浦賀へ入津仕霜月朔日江戸品川へ着船同十仕七日迄致滞船十八日同所出帆致し十九日浦賀御改を受翌廿日同所出船いたし順風ニ随ひ相模灘も渡り翌廿一日未之刻頃迄ニ遠州灘も渡り志州大尾崎ニ而南風せ候ひニ相成彼是する内ニ日之暮合ニ又出候風戌亥ゟ吹来是ゟ地方下手を心懸ケ䑺候得共中々寄せ不申如何様ニも仕方なく跡へ戻し帆を大半下ケ【右丁】つかせ居候【居候？居■候？】	長釣《場所：渕崎》と網代に入り、かくして二十九日までに浦賀へ入港し、十一月一日に江戸・品川へ着船。同十七日まで滞船し、十八日に同所を出帆。十九日に浦賀で御改めを受け、翌二十日に同所を出船。順風に従い相模灘も渡り、翌二十一日の未の刻（十三時-十五時頃）までに遠州灘を越え、志州大尾崎にて南風が吹き始めた。あれこれ手を尽くすうちに日が暮れ、今度は戌亥（北西）からの風が吹き出した。ここから南西方向を目指して航行したが、どうしても近付けず、やむなく引き返し、帆の大半を下げさせておった。
KUL/290E62ACC160E08117E71CE98ED5F096	1	7	処段々風強ク相成■■【候間ヵ】	ところが次第に風が強くなり■■。
KUL/290E62ACC160E08117E71CE98ED5F096	1	8	からつかせニ致居候処其夜亥之刻計ニ程あまの爪共ニ【「共に」小書き以下同】	帆の調整をさせていたところ、その夜の亥の刻（二十一時頃）には、程よく（？）あまの爪と共に。
KUL/290E62ACC160E08117E71CE98ED5F096	1	9	振折斯【新ヵ】	揺れ折れこうして
KUL/290E62ACC160E08117E71CE98ED5F096	1	10	■【流ヵ強ヵ】	■
