document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/3FFE087279739C581E96AE283CB59C48	1	1	【表表紙】漂民記【見返し】【文字無し】【左丁】《題：漂民記》【図】吹上奉行　御従士目附御小納戸砂利留御簾　御上段　漂流人幸太夫越中守　磯吉遠江守駿河守　河内守　永壽院　甫周　勘三郎　彦五郎御供御側衆　主膳正　美濃守　洗闕【右丁】【挿絵】【幸太夫、磯吉の図】【左丁】	漂民記《題：漂民記》吹上奉行　御従士目附　御小納戸　砂利留　御簾　御上段　漂流人幸太夫　越中守　磯吉　遠江守　駿河守　河内守　永壽院　甫周　勘三郎　彦五郎　御供　御側衆　主膳正　美濃守　洗闕
KUL/3FFE087279739C581E96AE283CB59C48	2	1	漂民御覧之記寛政五年癸丑九月十八日吹上の御物見におゐて去天明二年壬寅十二月十三日㔟州白子を出舩し其夜駿州の沖にて俄に大風に吹放され同三年七月廿日／魯西亜（ヲロシヤ）の属嶋アシツカといふ地へ漂着し夫よりカムサツカ。	漂流民御覧の記　寛政5年（1793年）癸丑の9月18日、吹上の御物見において、去る天明2年（1782年）壬寅の12月13日に紀州白子を出航し、その夜駿州の沖にて突然の大風に吹き流され、同3年7月20日にロシア（ヲロシヤ）の属島アリューシャン列島という地へ漂着し、そこよりカムチャツカへ。
KUL/3FFE087279739C581E96AE283CB59C48	2	2	オホツカ。	オホーツク。
KUL/3FFE087279739C581E96AE283CB59C48	2	3	イルカウツカなといふ地を経へし歐羅巴（ヱウロハ）洲なる魯西亜国の都へ出女帝に見へて許シを受去年九月三日蝦夷のネモロといふ地まて彼國の舩にて送り帰されたる神昌丸の舩頭大黒屋幸太夫同水主磯吉なる者を上覧あり御物	イルクーツカなどという地を経てヨーロッパ州にあるロシア国の都へ出て女帝にお目見えし、許しを受け、昨年9月3日蝦夷の根室という地まで彼の国の船で送り帰された神昌丸の船頭・大黒屋幸太夫と同水主・磯吉なる者を上覧された。
KUL/3FFE087279739C581E96AE283CB59C48	3	1	見の正面に御簾をかけ御透見有様に御座を役へ【設くヵ】右の方御入側には松平越中守加納遠江守【この文書は寛政四年（1792年）ロシア人ラクスマンが通商を求めて根室に来航してきた時返された、漂流民大黒屋幸太夫と磯吉を幕府が寛政五年（1793年）九月十八日取り調べた時の問答形式の記録。アメリカのペリーより６０年も前にロシアが日本に開国を求めている。この時、幕府は長崎で対応するというと親書を渡した。その信書に従い文化元年（1804年）長崎にレザノフが来航したが幕府は通商を拒否。】【右丁】平岡美濃守高井主膳正列座其前に出張を構へ御小納戸頭衆【注①】亀井駿河守小野河内守多紀永寿院桂川甫周列座是等は事の由を尋談すへき旨　命せらるゝ	
KUL/3FFE087279739C581E96AE283CB59C48	3	2	次に御目附中川勘三郎矢部彦五郎此両人は今日の執事也　御座の御後えは御小性御左には御小納戸群居せり御白砂に床几弐脚を居ゆ是は彼弐人の者の為もふけたる也	
KUL/3FFE087279739C581E96AE283CB59C48	3	3	扨午の初になん〳〵たる頃おひ幸太夫磯吉を召出さる幸太夫は齢四十二／鬠髻（モトヽリ）をは三に組て後ろに垂れ黒き絹にて巻き氊笠を脇はさみ襟には黄金にて造りたる小き鏡のことき物をかけ桃色の銀／莫臥児（モヲル）にて製したる　（△）釦紐を施し同織物の袴を【左丁】着紺地の錦の緊身（シタギ）を着足は白き莫大小（メリヤス）の上に黒き百尓西亜（ハルシヤ）革の深沓を履き魁藤（マルト）の杖を突けり磯吉は齢廿八同しさまに鬠髻を組幸太夫か掛たることき物を銀にて作りたるをかけ笠を取て脇はさみ絨哆呢（ラシヤ）の外套（ウハキ）に銀の釦紐（ホタン）を付／緊身（ハタギ）は猩々緋に黒き縁（ヘリ）をかけたるを着し黄黒間道の天鵞絨の袴を着白めりやすの上に深沓をさす是は幸太夫か沓とは少しく違ひて半より上は柿（カキ）色の革にて継たれと製作は同様也諸共に笠を地に置許【注②】をなして床几に座したる躰更に此国の人とは見へす紅毛人の形に髣髴（ホウホツタリ）たり	
KUL/3FFE087279739C581E96AE283CB59C48	3	4	夫より彼二人に問を下ふ答ふる所的実にして聊も虚誕（キヨタン）なし	それより彼ら二人に問いを下し、答えるところは的確で、少しの虚偽もなかった。
KUL/3FFE087279739C581E96AE283CB59C48	3	5	誠に千古の一大奇事也【注①　「衆」は「取」の誤写ヵ。ＮＤＬの他の異本https://kokusho.nijl.ac.jp/biblio/100267549/では「衆」は「取」】【注②　「許」は「拝」の誤写ヵ。ＮＤＬの他の異本https://kokusho.nijl.ac.jp/biblio/100267549/では「許」は「拝」】	まさに千古の一大奇事である。
KUL/3FFE087279739C581E96AE283CB59C48	4	1	【右丁】	
