document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/753D6522F47D1A0941D3935B9C50B6E5	1	1	　安永五年酉十二月玄界嶋江漂着　船為警固長崎江罷越候覚一	安永五年酉十二月玄界島へ漂着船の警固のため長崎へ罷り越すに当たり覚え書き
KUL/753D6522F47D1A0941D3935B9C50B6E5	1	2	用心番使番之御足軽頭江月番従大頭ゟ　御用状来	一 用心番と使番を務める御足軽頭へ、月番担当の大頭衆より御用状が届く
KUL/753D6522F47D1A0941D3935B9C50B6E5	1	3	右漂着船今津浦江漕込被　仰付候ニ付	右の漂着船を今津浦へ漕ぎ込むよう命じられたため
KUL/753D6522F47D1A0941D3935B9C50B6E5	1	4	使番御足軽頭樋口左市郎壱人ハ　同所江罷越直ニ長崎江も可被指越候由　申来	使番御足軽頭樋口左市郎一人は同所へ赴き、直ちに長崎へも向かうべき旨が申し伝えられた
KUL/753D6522F47D1A0941D3935B9C50B6E5	1	5	両人致出　殿候之事	両名が出立された件
KUL/753D6522F47D1A0941D3935B9C50B6E5	1	6	但大頭衆江も出　殿有之候事	ただし、大頭衆への出立もあったこと
KUL/753D6522F47D1A0941D3935B9C50B6E5	1	7	用心番　久世半七	用心番 久世半七
KUL/753D6522F47D1A0941D3935B9C50B6E5	1	8	使番　樋口左市郎一	使番 樋口左市郎
KUL/753D6522F47D1A0941D3935B9C50B6E5	2	1	入用之品々請参証拠案文	一 入用の品々請け取り証拠案文
KUL/753D6522F47D1A0941D3935B9C50B6E5	2	2	預り申事	預かり済みの件
KUL/753D6522F47D1A0941D3935B9C50B6E5	2	3	一八拾挺ハ　蝋燭	八十挺は蝋燭
KUL/753D6522F47D1A0941D3935B9C50B6E5	2	4	一弐拾枚ハ　中奉書	一、二十枚は中奉書
KUL/753D6522F47D1A0941D3935B9C50B6E5	2	5	一弐帖ハ　中折	一、2帖は中折り
KUL/753D6522F47D1A0941D3935B9C50B6E5	2	6	一百枚ハ　半切	100枚は半切
KUL/753D6522F47D1A0941D3935B9C50B6E5	2	7	一五帖ハ　半紙	15帖は半紙
