document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/9759F94A1EB9C200E338B608A30DDDE1	1	1	常州多河【ママ】郡磯原村船頭　禅宗左平太亥三十五	常州多河郡磯原村の船頭、禅宗左平太（亥三十五）
KUL/9759F94A1EB9C200E338B608A30DDDE1	1	2	同村水主同宗友　七亥四十九	同村の水主、同宗友（七亥四十九）
KUL/9759F94A1EB9C200E338B608A30DDDE1	1	3	同宗庄兵衛亥四十壱	同宗庄兵衛（亥41）
KUL/9759F94A1EB9C200E338B608A30DDDE1	1	4	法華宗	法華宗
KUL/9759F94A1EB9C200E338B608A30DDDE1	1	5	吉四郎	吉四郎
KUL/9759F94A1EB9C200E338B608A30DDDE1	1	6	善右衛門　死	善右衛門　死亡
KUL/9759F94A1EB9C200E338B608A30DDDE1	1	7	重三郎　死	重三郎　死亡
KUL/9759F94A1EB9C200E338B608A30DDDE1	2	1	一私共義難風にて安南国え漂流（ひやうりう）仕候処 	一、私どもは暴風により安南国へ漂流いたしましたところ、  
KUL/9759F94A1EB9C200E338B608A30DDDE1	2	2	南京（なんきん）亥の　四番船安南国え商に渡り候便船に乗せおくられ	南京の亥の四番船（安南国へ商いに向かう便船）に乗せられ、  
KUL/9759F94A1EB9C200E338B608A30DDDE1	2	3	安南ゟ　直に長崎え当七月十六日着船	安南国より直ちに長崎へ、同年7月16日に着船いたしました。  
KUL/9759F94A1EB9C200E338B608A30DDDE1	2	4	同日御役所え被　召出せいして踏絵（ふみゑ）被　仰付 	同日、御役所へ召し出され、踏絵を踏むよう命じられました。  
KUL/9759F94A1EB9C200E338B608A30DDDE1	2	5	漂流（ひやうりう）之次第一通り御 穿（せん）　鑿（さく）之上（之上）揚（あがり）屋へ被遣	漂流の次第を一通り御穿鑿の上、揚屋へ送られました。
KUL/9759F94A1EB9C200E338B608A30DDDE1	3	1	猶亦段々御吟味に付委細申　上候趣左之通り	なおまた、段々と御吟味に付きまして委細を申し上げます趣旨は左の通りでございます。
KUL/9759F94A1EB9C200E338B608A30DDDE1	4	1	一水戸様御領磯原村弥八郎舟姫色九十三反帆　乗組六人にて明和二酉年十月十五日奥州小名浜江　罷越牧野越中守様御米六百弐拾俵請取廿五日程立　之夕方 出帆（しゆつはん）仕	一、水戸様御領の磯原村にある弥八郎船（姫色九十三反帆）に乗組員六人で、明和二年酉の年十月十五日、奥州小名浜へ赴き、牧野越中守様の御米六百二十俵を受け取り、二十五日間滞留ののち夕方に出帆いたしました。
KUL/9759F94A1EB9C200E338B608A30DDDE1	4	2	同廿八日下総国 銚子（てうし）の浦へ着船仕候	同年十月二十八日、下総国銚子の浦へ着船いたしました。
KUL/9759F94A1EB9C200E338B608A30DDDE1	5	1	十一月十五日辰国順風に御座候間帰帆に趣然るに　如何様六七里も北之方え参候頃西南より難風 俄（にわか）　起り沖え吹飛され候故帆を下け碇（いかり）を弐ツ迄■き候　得共風次第にはけしく舟止り兼申仕 	一、十一月十五日辰の刻に順風がございましたため帰帆のため出航いたしましたところ、いかなる理由か六七里（約24～28km）も北方へ進んだ頃、南西より暴風が俄かに起こり、沖へ吹き流されました。
KUL/9759F94A1EB9C200E338B608A30DDDE1	5	2	帆柱（ほばしら）を伐り　倒（たをし）候しかれ共船中へ掛波高く打込 	このため帆を下げ、錨を二つまで下ろしましたが、風次第に激しくなり、船を止めることが叶いませんでした。
KUL/9759F94A1EB9C200E338B608A30DDDE1	5	3	垢（あか）水を波出し〳〵　強く働（はたらき）候へ共 防（ふせぎ）はたらく候内へ乗組之者共 覚悟（かくご）極め各 　髪（かみ）を切りて仏神を祈誓（きせい）し大綱をたらし■ふ引せ	帆柱を切り倒しましたが、船内に打ち込む波は高く、垢水を波とともに懸命に排水いたしましたが、防ぎきれぬうちに乗組員一同は覚悟を極め、各々髪を切り仏神に祈誓を捧げ、大綱に縋りついて引き締めました。
KUL/9759F94A1EB9C200E338B608A30DDDE1	5	4	六日之晩方迄東北之方え流れ何れとも方角をし　らず候へども奥州相馬 沖抔（おきなど）にあらんと存おり候	六日の夕方まで東北の方へ流され、方角も判然とせぬ状況でありましたが、奥州相馬の沖辺りであろうと存じました。
KUL/9759F94A1EB9C200E338B608A30DDDE1	5	5	然る処　六日之晩方ゟ風しずかに成戌亥の風に変（かわり）往古より難	しかしながら六日の夕方より風静まり、戌亥（北西）の風へ変わり、往古よりの難風…。
