document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/A0933114CD6767625D1B0A8FA8BC5A19	1	1	　京大坂え之御用状写	京都・大坂への御用状の写し
KUL/A0933114CD6767625D1B0A8FA8BC5A19	2	1	一筆令啓達候	謹んで申し上げます。
KUL/A0933114CD6767625D1B0A8FA8BC5A19	3	1	一　旧臘晦日之朝鐘崎沖又々異国船壱艘漂流に付早　々鐘崎浦より船数差出同所え漕寄	一、旧暦の大晦日の朝、鐘崎沖に再び異国船一隻が漂流したため、早速鐘崎浦から船数隻を差し向け、同所へ漕ぎ寄せた。  
KUL/A0933114CD6767625D1B0A8FA8BC5A19	3	2	則地島定番　十時新右衛門早速罷出見分いたし候処先達玄界島　沖え漂着之朝鮮漁船同所に相見へ候	則ち、地島定番の十時新右衛門が早速罷り出て見分いたしたところ、先だって玄界島沖へ漂着した朝鮮漁船が同所に見えました。  
KUL/A0933114CD6767625D1B0A8FA8BC5A19	3	3	人数六人乗　居申由候	人数6人が乗っておりましたとのことです。  
KUL/A0933114CD6767625D1B0A8FA8BC5A19	3	4	依之足軽頭平兵衛大岡仁太夫　岩田孫左衛門之外御役人例之通被差出長崎え朝鮮船御領内漂着記　坤	これにより、足軽頭の平兵衛、大岡仁太夫、岩田孫左衛門のほか、御役人を例の通り差し出し、長崎へ朝鮮船が御領内に漂着した記録　坤  
KUL/A0933114CD6767625D1B0A8FA8BC5A19	3	5	【蔵書印二つあり】	  
KUL/A0933114CD6767625D1B0A8FA8BC5A19	3	6	【右丁】	  
KUL/A0933114CD6767625D1B0A8FA8BC5A19	3	7	一　右之次第長崎両御奉行所之家老衆迄御家老　中より以飛札被申達	一、右の次第は長崎両御奉行所の家老衆まで、御家老中より飛札をもって申し達せられ  
KUL/A0933114CD6767625D1B0A8FA8BC5A19	3	8	尤江戸えも此節言上仕事候	ただし、江戸へもこの節、言上いたす仕事でございました。
KUL/A0933114CD6767625D1B0A8FA8BC5A19	4	1	一　右漂着之儀いつも其元御町奉行衆迄御口上にて被　仰達来候へとも此節は御留守之儀候間#1各間保田美　濃守殿永見甲斐守殿え被罷出御取次衆迄此方　御家老中より之口上にて宜取継？可被申上候	一、右の漂着の儀、いつもその元の御町奉行衆まで御口上にて仰せ達せられてきたところではございますが、この節は御留守の儀に候間、各間の保田美濃守殿・永見甲斐守殿へ罷り出で、御取次衆まで此方の御家老中よりの口上にて宜しく取り継ぎ、申し上げるべく候。
KUL/A0933114CD6767625D1B0A8FA8BC5A19	4	2	恐々謹言	恐れ多くも謹んで申し上げます。
KUL/A0933114CD6767625D1B0A8FA8BC5A19	5	1	　正月二日　御用勤中	　1月2日　御用勤務中
KUL/A0933114CD6767625D1B0A8FA8BC5A19	5	2	　篠田安右衛門殿	　篠田安右衛門殿
KUL/A0933114CD6767625D1B0A8FA8BC5A19	5	3	　高尾弥五左衛門	　高尾弥五左衛門
KUL/A0933114CD6767625D1B0A8FA8BC5A19	5	4	【左丁】	
KUL/A0933114CD6767625D1B0A8FA8BC5A19	5	5	一　京都えも右同紙面にて杉山文太夫別紙に申来候	一、京都へも右の同紙面をもって杉山文太夫が別紙にて申し来ました。
KUL/A0933114CD6767625D1B0A8FA8BC5A19	5	6	京都　いつも所司代并御町奉行衆迄え御口上にて被仰達来　候付	京都では、いつも所司代并びに御町奉行衆まで、御口上にて仰せ達せられてきたため、
KUL/A0933114CD6767625D1B0A8FA8BC5A19	5	7	此節も小笠原佐渡守様瀧川丹後守殿水野　備前守殿へ文太夫罷出右之紙面之通御家老中より　之口上御取次迄申上候様にと申参候也	この節も、小笠原佐渡守様・滝川丹後守殿・水野備前守殿へ、文太夫が罷り出て、右の紙面の通り御家老中よりの口上を御取次まで申し上げるようにと申し参ったのである。
