document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	1	1	【題箋】漂流呂宋国記	漂流ルソン国記
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	1	2	【右丁・白紙】	
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	1	3	【左丁】漂流呂宋国記	漂流ルソン国記
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	1	【右丁・蔵書印二つ】	
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	2	【左丁・呂宋国漂流海陸路程全図(極東の地図)】	
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	3	漂着以後国々護送之次第	漂着以後の各国護送の次第
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	4	呂宋国ノ内	ルソン国の内
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	5	唐国ノ内	唐国の内
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	6	ホロ—クワン　香港（ヒヨンコン）	ホロークワン　香港（ヒヨンコン）
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	7	ライデン　澳門（アマカオ）	ライデン　澳門（アマカオ）
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	8	サンマル　舟山（チウサン）	サンマル　舟山（チウサン）
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	9	カチバラ　乍浦（サホー）	カチバラ　乍浦（サホー）
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	2	10	マネラ城　我九州　長崎	マネラ城　我が九州長崎
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	1	呂宋国全図宮城郡石浜水主長次郎本吉郡気仙沼水主喜兵衛	ルソン国全図　宮城郡石浜の水主・長次郎、本吉郡気仙沼の水主・喜兵衛。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	2	右天保十二辛丑年九月十三日奥州伊達郡北半田重吉舟五百石積拾七反帆観吉丸江　公儀御城米四百五拾石積入	右の通り天保12年（1841年）9月13日、奥州伊達郡北半田の重吉船・五百石積み十七反帆の観吉丸に、公儀の御城米四百五十石を積み入れ。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	3	石巻舟頭甚助并拙者共両人外盛岡之重吉八ノ戸之岩松吉松最上之与三蔵次郎吉都合八人乗	石巻の舟頭・甚助并びに拙者ら両人の外、盛岡の重吉、八ノ戸の岩松・吉松、最上の与三蔵・次郎吉、都合八人乗り。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	4	但御代官峰内帯刀殿送状持来	但し御代官・峰内帯刀殿の送状持参。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	5	同十八亘理郡荒浜出帆宮城郡湊ニ船繋り致	同月18日、亘理郡荒浜より出帆し、宮城郡湊に船を繋ぎ、
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	6	十月七日同所出帆巳午ノ方江昼夜走り候処	10月7日同所より出帆。南南東の方角へ昼夜走りしところ。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	7	同十五日朝五ツ半時上総国九十九里沖ニ而戌亥ノ方ゟ俄ニ大風吹起海上荒立空危真黒ニ相成遂ニ山も見失ひ里数も不知吹流れ《割書：下略ス｜》	同十五日、朝五つ半時（午前4時頃）、上総国九十九里沖にて北西の方角から突然大風が吹き起こり、海上は荒れ立ち、空が危ういほど真っ黒になり、遂には山も見失い、距離も分からぬまま吹き流された。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	8	扨被吹流候ゟ十ケ月目翌年《割書：天保十｜三壬寅》七月頃と覚式朝四ツ半時頃申酉ノ方ニ凡十里程之辺山壱ツ見付候ニ付一同力を得候得共船具等ハ残らす相失ひ漕寄可申様も無之其儘罷在候内	さて漂流を始めてから十ヶ月目の翌年七月頃かと思われる朝四つ半時（午前10時頃）、南西の方角に凡そ十里程（約40km）の辺りに山一つを見つけたため、一同は力を得たものの、船具などは残らず失い、漕ぎ寄せる様もなく、そのまま漂っているうちに。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	9	其夜五ツ時頃俄ニ卯辰之風吹起大波を巻上《割書：下略ス｜》船は遂ニ浪之中ニ沈ミ入	その夜、午前4時頃、突然東南東の風が吹き起こり大波を巻き上げ、船はついに波の中に沈んだ。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	10	一同櫓ニ集り居候処忽大波ニ被打裂櫓計浮上り船ハ其儘砕申候	一同が櫓に集まっていたところ、突然の大波に打たれて櫓が裂け、櫓だけが浮き上がる中、船はそのまま砕けてしまった。
KUL/AEE8A64E33D413DD2735108B9EE2AFCF	3	11	尚も櫓ニ取付罷在《割書：下｜略ス》右島山へ被打揚此時岩松吉松両人櫓ノ出釘ニ而惣身を被引裂夥敷怪我仕候漸く引上一同上陸仕候	なおも櫓に取り付いていたまま右の島山へ打ち上げられ、この時岩松・吉松両人は櫓の出釘で全身を引き裂かれてひどい怪我を負い、ようやく引き上げ、一同上陸した。
