document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/D4E121EEBA0DC5A5257752D84E36164E	1	1	【題簽】華夷九年録　下【原表紙】華夷九年録　下華夷九年録巻之下	華夷九年録 下華夷九年録　下 華夷九年録 巻の下
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	1	花甚申は迚同じ事何国の浦でも様？とに衣類と面は暮れども替らぬ物は心なり	花甚申は、いずれの国の浦でも同じことであろう。衣類や顔は年月とともに変わっても、変わらぬものは心である。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	2	国政は民を摂？で下を普育し治れり	国政は民を統べ、下々の者たちを広く養い育てて治めていた。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	3	貢物は米胡升丁子砂糖をみつぐもあり	貢物としては、米や胡升、丁子、砂糖を献上する者もあった。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	4	此所男子は見へて女子は見へず	この場所では男性は見えるが女性は見えない。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	5	七歳より女子は外に出さずとぞ聞へし也	七歳から女性は外に出さないと聞いている。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	6	扨又此ハンシヤラマアシ甚町よりは十里川口ゟは弐十里上にして此所の大守あり	さてまた、このハンシヤラマアシ甚町からは十里、川口からは二十里上流にこの場所の領主がいる。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	7	カイタンといふ万余戸の広地にて繁栄也	カイタンという一万余りの戸数がある広大な土地で繁栄している。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	8	石火矢台？所々にかまへ大堀有り	大砲の台座が所々に構えられ、大きな堀がある。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	9	橋有り	橋がある。
KUL/D4E121EEBA0DC5A5257752D84E36164E	2	10	高石垣は数里に築廻して堅固なる要害也	高石垣は数里にわたって築き巡らされ、堅固な要害である。
