document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	1	1	【表紙】【題簽】《割書：元禄ヨリ元文年間》朝鮮舩御領内漂流記　乾【見返し　白紙】	《割書：元禄から元文年間》朝鮮船御領内漂流記　乾
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	1	【扉】《割書：元禄宝永正徳元文》朝鮮舩御領内漂着記　乾【右丁　白紙】【蔵書印　九州帝國大學圖書印】	《割書（わりかき）：元禄・宝永・正徳・元文》朝鮮船御領内漂着記　乾
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	2	【左丁】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	3	　目次	　目次
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	4	《割書：元禄十三年十一月》一玄界島	《割書（わりかき）：元禄13年11月》一、玄界島
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	5	《割書：元禄九年丙子正月》一沖島沖ヨリ大島え漕寄	《割書（わりかき）：元禄9年丙子正月》一、沖島沖より大島へ漕ぎ寄せる
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	6	《割書：同　年十二月》一玄界島	《割書（わりかき）：同年12月》一、玄界島
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	7	《割書：同　年内》一鐘崎	《割書（わりかき）：同年内》一、鐘崎
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	8	《割書：宝永六年丑二月》一玄界島	《割書（わりかき）：宝永6年丑2月》一、玄界島
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	2	9	【右丁】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	3	1	《割書：正徳五年乙未十一月》一幸湊	《割書（わりかき）：正徳5年乙未11月》一、幸湊
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	3	2	《割書：元文四年己未正月》一若松	《割書（わりかき）：元文4年己未正月》一、若松
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	4	1	【左丁】　元禄十三年御在府	元禄13年御在府（江戸在勤）。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	5	1	玄界島え朝鮮船漂着一元禄十三年十一月晦日昼過時分玄界島沖に異船　一艘相見え候付早速村沢／■（勘）【注①】兵衛喜多村／種（権）【注②】蔵御足　軽召連同所小船にて島前に漕寄何処相尋候得共　口上にて埒明不申候人数十人乗居申間壱人頭分　と相見候由船長サ十尋程■之尋程在之候梶折漂　流仕候／波（彼）【注③】島は繋場悪敷有之に付唐泊え漕申由注　進仕候依之早速被差出御役人之名付　┌高屋加兵衛　御足軽頭　│【赤字は見せ消ちと思われるが、消す赤点が無いのでルビとして翻刻した】【注①　■は甚＋刀、「勘」は朱書き】【注②　■は種ヵ、「権」は朱書き】【注③　「彼」は朱書き】	玄界島への朝鮮船漂着一件。元禄13年11月30日昼過ぎ頃、玄界島沖に異国船一隻が現れたため、直ちに村沢勘兵衛と喜多村権蔵が御足軽を引き連れ、現地の小船で島前に漕ぎ寄せた。出所を尋ねたが口頭では埒が明かず、十人ほど乗船している中で一人が頭分らしく、船の長さは十尋（約18メートル）ほどであった。舵が折れて漂流したとのことで、同島は繋留場が悪いため唐泊へ回航したと報告があった。これにより早速派遣された御役人の名簿に、高屋加兵衛（御足軽頭）の名が記されていた。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	6	1	【右丁】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	6	2	└田中正左衛門《割書：組共》	└田中正左衛門《割書：組共》。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	6	3	御陣奉行　生田藤太夫	陣奉行　生田藤太夫。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	6	4	筆談　靏原新平	筆談　靏原新平。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	6	5	御目付頭　筑紫九左衛門	監察役長　筑紫九左衛門。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	7	1	右之注進に付長崎御奉行家老衆え御家老中　より書状被差越案文	右の注進により、長崎御奉行家老衆へ御家老中より書状の案文が送付されました。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	7	2	一筆致啓上候昨三十日之昼過頃肥前守■（領）【注】内玄界島沖え異国船一艘漂流仕候付彼島え差【左丁】置候定番之者早速出向候処朝鮮船と相見候に付唐泊浦と申所え漕寄番船等付置候由申越候依之城下より住人共差出シ【之ヵ】申候追付其御地送越可申候先右之段為可申上右【各ヵ】様迄以飛札如斯御座候恐惶謹言	一筆申し上げます。去る30日昼過ぎ頃、肥前守領内の玄界島沖に異国船一隻が漂流いたしましたため、同島に配置されていた担当者が急行したところ、朝鮮船と判明いたしました。よって唐泊浦という場所へ回航し警護の船を配置した旨が報告されております。これにより城下から住民らを派遣し、追ってその地へ送り届ける手配です。まず右の件をご報告するため、右各位様へ早馬便をもってこのように申し上げます。謹んで申し上げます。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	1	十二月朔日　御家老中	12月1日　御家老中。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	2	近藤備中守殿家老　┌小関【山内ヵ】■右衛門様　└永井伝兵衛様	近藤備中守殿家老┌小関■右衛門様└永井伝兵衛様。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	3	林土佐守殿家老　┌高原与三兵衛様　└安■【留ヵ】勘大夫様	林土佐守殿家老┌高原与三兵衛様└安■勘大夫様。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	4	【注　「領」は朱書き】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	5	【右丁】	　
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	6	　御用《見せ消ち：残｜状》【注①】うつし　以飛脚一筆令啓達候	御用《「残」で「状」を修正》写し　飛脚便をもって一筆啓上いたします。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	7	一昨晦日昼過頃玄界島沖え漂流之異国船一艘　相見候ニ付早速同所定番村沢勘兵衛喜／■（多）【注②】村権　蔵出向候由注進仕候付即刻御足軽頭田中正　左衛門高屋加兵衛罷越番船相勤候へと申渡候	一昨日の30日昼過ぎ頃、玄界島沖に漂流していた異国船一隻を確認したため、直ちに同所の定番である村沢勘兵衛と喜多村権蔵を派遣した旨の注進があり、これを受け即刻、御足軽頭の田中正左衛門と高屋加兵衛を呼び寄せ、番船の任務に就くよう申し渡した次第でございます。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	8	筑紫九左衛門生田藤大夫為筆談靏原新平儀も　差越候玄界ハ繋場無之付唐泊りニ潜込申候由　注進有之候	筑紫九左衛門は筆談のため生田藤太夫と靏原新平も差し向けた。玄界島には繋留場がないため唐泊りに回航した由を注進があった。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	8	9	尤勘兵衛権蔵出向候節何■【扁？】相尋　候得共詞一円通之【シ？】不申候故硯箱見え候ヘハ望申	尤も、勘兵衛と権蔵が出向いた際には何■と尋ねたが、言葉が全く通じなかったので、硯箱が見えた際にはそれを求めた。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	9	1	【左丁】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	9	2	躰ニ相見へ申ニ付遣候処書付いたし遣候由ニて両人　方より差越候書面之趣ニ候ヘハ朝鮮之商船と相見へ　申候貴殿為意得右注進状之うつし幷朝鮮人　書物写差越候右之朝鮮船其元被差越候時分　筆談之書付等可遣候間其《見せ消ち：内｜内》【注③】今度差遣候朝鮮人　書付うつし被差遣候儀無用可被《見せ消ち：仕｜存》【注④】候例之通　役人致差添押付其元致送越答【筈？】候前々より流寄之　朝鮮漁船之類ニテ別条無之趣と人数十人乗《見せ消ち：居｜申》【注⑤】　女出家病人等も相見へ不申由ニ候　右之次第両御奉行所之家老中迄拙者共より以	どうやら船と判明いたしましたので派遣したところ、両名から提出された文面の趣旨によれば、朝鮮の商船であることが確認されました。貴殿のご参考までに、注進状の写しと朝鮮人の書物の写しを送付いたします。この朝鮮船を貴方元へ送り届ける際には、筆談の記録を提出する必要があるため、今回送付する朝鮮人の文書写しは不要でございます（例の通り役人が同行して押さえ、貴方元へ送り届ける手筈です）。以前から漂着する朝鮮漁船類と同様に特段の問題なく、乗組員十人におり、女性・僧侶・病人などは確認されませんでした。右の次第を両御奉行所の家老中まで拙者どもから以て。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	10	1	【注①　「状」は朱書き】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	10	2	【注②　「多」は朱書き】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	10	3	【注③　「内」は朱書き】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	10	4	【注④　「存」は朱書き】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	10	5	【注⑤　「申」は朱書き】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	11	1	【右丁】 　書状申達事ニ候為得意案文差添候間貴殿持参　ニ仕右ニ準口上加え相達可被申候一	書状を申し伝えることでございます。そのために正式な案文を添えておりますので、貴殿が持参いたしまして、上記に従い口上を加えて伝えられるようお願い申し上げます。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	11	2	右漂着船替たる船にても無之ニ付　大殿様ゟ　御口上迄も不被仰《見せ消ち：進｜下》【注①】候	右の漂着船は替え船でもないにつき、大殿様よりのご挨拶までもお述べになりませんでした《「進」を「下」に修正》。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	11	3	此段両御奉行所御取次　迄挨拶可被仕候	この段、両御奉行所の御取次役まで挨拶すべき手続きにございます。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	11	4	恐々謹言	恐れ多くも謹んで申し上げます。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	12	1	十二月朔日	12月1日
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	12	2	御家老中ゟ　森十郎太夫殿一	御家老中より森十郎太夫殿
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	12	3	右之通御家老中ゟ両御奉行所家老衆迄書状被差　越候	右の通り、御家老中より両御奉行所の家老衆へ書状が差し越されました。
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	12	4	其後森十郎太夫儀林土佐守殿え罷出候節　御同人被仰聞候ハ先達玄界島え漂着候朝鮮	その後、森十郎太夫が林土佐守殿のもとへ参上した際、御同人より仰せ聞かされたところ、先般玄界島へ漂着した朝鮮
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	13	1	【左丁】	
KUL/E3E753E3310BDDA1D3DD08D91572B3CF	13	2	船ニ人も乗候哉と御尋候付	船に人も乗っているかとお尋ねになりましたので、
