document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/EC191957915387E5648A0AA33EE7695C	1	1	【題箋】奥州仙台領之者　唐国へ漂流一件宝暦度	奥州仙台領の者が中国へ漂流した一件（宝暦年間）
KUL/EC191957915387E5648A0AA33EE7695C	1	2	奥州仙台領之者唐国江漂流一件 	奥州仙台領の者が中国へ漂流した一件、
KUL/EC191957915387E5648A0AA33EE7695C	1	3	奥州仙台商船去ル申年十二月難風ニ逢候唐国江漂　流之事	奥州仙台の商船が去る申年の十二月に難風に遭い、中国へ漂流したこと、
KUL/EC191957915387E5648A0AA33EE7695C	1	4	南京ゟ無難ニ而着岸長崎御役所ニ而御吟味　書付左之通	南京から無事に長崎の役所に到着し、お取り調べの記録は以下の通り。
KUL/EC191957915387E5648A0AA33EE7695C	2	1	一松平陸奥守殿領分仙台気仙沼之商舟去ル申十二月　漂流之所戌正月十日南京舟ゟ長崎へ送来り同七月　五日江戸松平陸奥守殿屋鋪迄帰来国元江差越候由一	一、松平陸奥守殿の領分である仙台気仙沼の商船が、去る申年の十二月に漂流したところ、戌年の正月十日に南京船から長崎へ送られ、同年七月五日に江戸の松平陸奥守殿の屋敷まで帰還し、国元へ送り届けられた由。
KUL/EC191957915387E5648A0AA33EE7695C	3	1	奥州仙台気仙沼ニ而大島屋加兵衛舟春日丸之舟頭　伝兵衛主水共拾三人乗組商物取構下総国銚子浦を　心掛申	一、奥州仙台気仙沼において、大島屋加兵衛の船・春日丸の船頭である伝兵衛と主水ら13人が乗り組み、商物を積み下総国銚子浦を目指して出航しました。
KUL/EC191957915387E5648A0AA33EE7695C	3	2	十二月五日朝出船之所津中風不順ニ而漂ひ罷　在去ル	12月5日の朝に出船した所津において、途中で風向きが悪くなり、漂流してしまいました。
KUL/EC191957915387E5648A0AA33EE7695C	3	3	酉三月廿四日唐国之 浙江省（カツコウタウ）寧波府 定海（シヤウクカヤ）　県（ケン）舟（チウ）山之内花山江漂流 	酉年の3月24日、唐国の浙江省（カツコウタウ）寧波府定海（シヤウクカヤ）県（ケン）舟山の内、花山江に漂流しました。
KUL/EC191957915387E5648A0AA33EE7695C	3	4	気地（シンチ）官ト申官人ゟ差出し　船具□綱を出シ相救ひ	気地（シンチ）官と申す役人から救助のための船具や綱を差し出し、救出しました。
KUL/EC191957915387E5648A0AA33EE7695C	3	5	四月二日舟山之湊江挽入は　地ゟ官府之役人江訴出居所改差置	4月2日、舟山の港に引き入れた後、現地の役人に訴え出て、居住地を調べた上で監視下に置かれました。
KUL/EC191957915387E5648A0AA33EE7695C	3	6	六月十九日舟山ゟ　出立同廿日寧波府送り届	6月19日に舟山を出立し、同月20日に寧波府へ送り届けられました。
KUL/EC191957915387E5648A0AA33EE7695C	3	7	信公貞与申唐人先年　之例を以介抱申付候	通詞のサンコと申す唐人により、先年の例に倣って介抱を申し付けられました。
KUL/EC191957915387E5648A0AA33EE7695C	3	8	十二月七日寧波府へ出立	12月7日、寧波府へ出立しました。
KUL/EC191957915387E5648A0AA33EE7695C	3	9	当儀　正月十日長崎湊江戌一番舟ニ南京船頭 馬政（ハセイ）元信　鎌吉与申両人之者共召連来候	当時の正月10日、長崎の湊に戌年の一番船で、南京船頭の馬政（ハセイ）・元信・鎌吉と申す両名の者を連れて参りました。
KUL/EC191957915387E5648A0AA33EE7695C	3	10	右ニ付当二月廿九日　在江戸長崎奉行大橋近江守殿宅江松平陸奥守殿　家来被相招右之段被申含申達候旨尤	右につき、当2月29日に江戸の長崎奉行・大橋近江守殿の屋敷にて、松平陸奥守殿の家来をお招きし、右の段を申し含み申し達しました旨、もっともでございます。
