document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/F4FEB85ACF5948822A2AD3279F295FC8	1	1	【題箋】志州鳥羽船頭外国江吹流し候一件宝暦年中	志州鳥羽の船頭が外国へ漂流した一件 宝暦年中（1757年頃）
KUL/F4FEB85ACF5948822A2AD3279F295FC8	2	1	志州鳥羽船頭外国江吹流し候一件志州鳥羽■田浦■【領ヵ】主稲垣摂津守殿也	志州鳥羽の船頭が外国へ漂流した一件。志州鳥羽■田浦のは、稲垣摂津守殿であった。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	3	1	右所之船頭小平治主水共六人乗にて宝暦七丑年九月出船いたし候所難風にて吹流され外国江至り	右の船頭・小平治と主水ら6人乗りで、宝暦7年（1757年）9月に出船いたしましたところ、暴風雨に流され、外国へ至りました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	3	2	台湾国ゟ福州并ニ南京江送り	台湾から福州、そして南京へと送られ
KUL/F4FEB85ACF5948822A2AD3279F295FC8	3	3	南京ゟ長崎江送り	南京から長崎へと送られ
KUL/F4FEB85ACF5948822A2AD3279F295FC8	3	4	同九年之七月志州江帰国致し	宝暦9年7月、志州へ帰国した。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	4	1	右舟船頭小平治口上之趣左　通り	右の船頭小平治の口上の内容は左の通り。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	5	1	一丑年九月大坂にて荷物品々積出船　いたし尼ケ崎迄参り候処	宝暦七丑年（1757年）9月、大坂にて荷物を様々積み出し船を仕立て、尼ケ崎まで到着したところで
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	1	同月十五日　寅刻ゟ大雨大風俄吹出し何国となく　吹流され	同月十五日、寅の刻（午前4時頃）より大雨と大風が突然吹き出し、どこの国かもわからぬまま漂流させられました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	2	其内に北ニ当り大島等島五六　ケ所も見へ候	そのうちに北の方角には大島などの島々が五、六か所も見えました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	3	日本有之候五十日目に波と　塩との所江吹付られ最早 櫓（ろ）も梶も　なくなり候て風も相止ミ候得共何とも　致かたなく罷在候	日本を出て五十日目に波と塩に打たれ、最早オールも舵もなくなり、風も止んでしまいましたが、どうすることもできずに漂っていました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	4	二タ夜明し申候日の	二晩を明かしました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	5	出見申候	日の出を見ました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	6	一ツ夜の九ツ前より東之方面ニ　赤く相成り夜明前には朱よりも赤く　成り申候	午前2時頃より東の空が赤くなり始め、夜明け直前には朱色よりもさらに赤く染まりました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	7	日の輪殊之外大きく相見へ　申候	太陽が非常に大きく見えました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	8	海より上り仕廻海と日輪余程　はなれ人顔も見へ申候様ニ相成申候	海から上った太陽がかなり離れ、人々の顔も見えるようになりました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	9	余程手間取申候	非常に手間取りました。
KUL/F4FEB85ACF5948822A2AD3279F295FC8	6	10	日本ニて夜の七ツ時分と思ひ候時ニ日輪出掛り申候	日本では夜の七つ時分（午前4時頃）かと思っていた時に、太陽が昇り始めました。
