document_id	paragraph_id	sentence_id	source_sentence	target_sentence
kusazoushi/052E62E165515E2FC275178EAB84D4C3	1	1	鎌田又八　全【検索用：かまだまたはち／富川房信／とみかわふさのぶ】【左ページに薄く】	鎌田又八　全
kusazoushi/052E62E165515E2FC275178EAB84D4C3	2	1	鎌田又八こゝにかま田又八とてきんごくにかくれなき大りきものあり	ここに鎌田又八とて、近国に隠れなき怪力無双の者がいた。
kusazoushi/052E62E165515E2FC275178EAB84D4C3	2	2	おさなきころしろにはとりをひそうしてかい【？】りんかのいぬかのにはとりをくいころしける	幼き頃、白鶏を捕まえようとしたが、隣家の犬がかえって鶏を食い殺してしまった。
kusazoushi/052E62E165515E2FC275178EAB84D4C3	2	3	又八がうばけしからずとりのなくにおどろきかけいでいぬをおへどもついににわとりを　くいころすにつくいちくしやうめた	又八が祖母に叱られ、鳥の鳴く音に驚いて駆け出し、犬を追いかけ回したが、ついに鶏を食い殺してしまい、罪滅ぼしに埋めた。
kusazoushi/052E62E165515E2FC275178EAB84D4C3	2	4	又八さまがかへつたらたいていな　ことではあるまい　わらべいしを　打付おへどもこのいぬには□□□を　くわ□□しかくり　そは□　□な□　さり　けり	又八様が叱ったくらいでは大したことではあるまい。童石を打ち付け追えども、この犬には□□□を食わ□□しかくり、そは□□な□さりけり。
kusazoushi/052E62E165515E2FC275178EAB84D4C3	3	1	かゝる所へかま田又八あそひにゆきてもどり此ていをはるかにみのけやがてかのいぬをとらへ□はあらて　下あこにもろてをかけひきさきころしける	かゝる所へ鎌田又八が遊びに行きて戻り、このていをはるかに見のけ、やがてかの犬を捕らえ[■]はあらて、下顎に両手をかけひき裂き、先に殺してしまった。
kusazoushi/052E62E165515E2FC275178EAB84D4C3	3	2	うば又八か　ちからをみて　きもをつぶし　ける	祖母は又八の力を見て肝をつぶした。
kusazoushi/052E62E165515E2FC275178EAB84D4C3	4	1	につくいのらいぬめおれがひそうのにはとりをころした	「つぐないの野良犬め！俺の庭の鶏を殺しやがったな！」
kusazoushi/052E62E165515E2FC275178EAB84D4C3	4	2	かはりおもひしらせん	「その代わり、思い知らせてやるぜ！」
kusazoushi/052E62E165515E2FC275178EAB84D4C3	5	1	ゑいやうんとな	「えいやうんとな！」
kusazoushi/052E62E165515E2FC275178EAB84D4C3	6	1	かま田又八かたより一里ばかりへだてし山里におば【次のコマにあり】ありけるがひさしくあわさりしゆへはなしにゆかんと	鎌田又八の家から一里ほど離れた山里に祖母がいたが、長らく会っていなかったので話をしに行こうと、
kusazoushi/052E62E165515E2FC275178EAB84D4C3	6	2	夕ぐれよりこゝろさし行けうころしも	夕暮れ時に覚悟を決めて出かけた。
