document_id	paragraph_id	sentence_id	source_sentence	target_sentence
kusazoushi/0584B8444CBC127EDC3039735235723D	1	1	写昔男　通風伊勢物語　全　天明二年壬寅	写昔男　通風伊勢物語　全　天明二年壬寅
kusazoushi/0584B8444CBC127EDC3039735235723D	2	1	ここにさけせうばいをせしいせや徳右衛門といふものあり	ここに酒商売を営んでいた、徳右衛門という者がいた。
kusazoushi/0584B8444CBC127EDC3039735235723D	2	2	ちかきころより　だんだんしんせうしだし国元ゟねんきこども二人りよびよせとくいをまはらせ日々はんぜうせしなり	近頃になって商売が次第に繁盛してきたので、故郷からかねて育てていた子供二人を呼び寄せ、使い走りをさせて日々働かせた。
kusazoushi/0584B8444CBC127EDC3039735235723D	2	3	これ徳吉めをさませ	これが徳吉めを育てるやり方であった。
kusazoushi/0584B8444CBC127EDC3039735235723D	2	4	われも幸介といっしょにゆにでもいってこいあのおひのしさまをみさつしやれ	「私も幸介と一緒に銭湯へでも行って来い。あの風呂屋の様子をよく見て来るのだ。」
kusazoushi/0584B8444CBC127EDC3039735235723D	2	5	あれこ□□□□□幸助も徳吉おな□□□こふ	「あれこれ幸介も徳吉、同じように…こういうことだ。」
kusazoushi/0584B8444CBC127EDC3039735235723D	2	6	なれ共幸介めはまいはんゆにてもゆきかみもこつちからいわぬ先にさいそくしてゆいますにとくきちはゑりもみゝもまつ黒にしてたゞいねむりがゑて物だ【得手物だ＝得意だ】	「しかし幸介めは毎晩湯に行くと、髪の手入れをこっちが言う前にせかすように出かける。一方で徳吉は襟も耳も真っ黒にして、ただ居眠りが得意なんだ。」
kusazoushi/0584B8444CBC127EDC3039735235723D	3	1	【挿絵内】アヽねぶ【婦に濁点】つ　てへ	ああ、ねぶってえ。
kusazoushi/0584B8444CBC127EDC3039735235723D	4	1	もしだんなさま　ちよつとゆにいつて　もよふ　こさり　ますか	「もしだんなさま、ちょっと銭湯に行ってもよろしゅうございますか。」
kusazoushi/0584B8444CBC127EDC3039735235723D	4	2	扨も徳右衛門かたの二人りの御用は日〳〵とくいをあるきむかしとちかい今時は御用はよふごさりますかとはいわず	さて、徳右衛門方の二人の御用は、日々得意先を回り、昔と近い今時は「御用はようございますか」とは言わず。
kusazoushi/0584B8444CBC127EDC3039735235723D	4	3	だがまへてもふところでをしてのそり〳〵とのぞく斗それても用はたりるなり	だが、前へ出ても懐に手を入れて、のそのそとのぞき込むだけ。それでも用が足りるのだ。
kusazoushi/0584B8444CBC127EDC3039735235723D	4	4	幸介はきんじよのかみさまやしぶむけ【渋剥け＝あかぬけ】た娘などにゑゝ子たからいゝ酒をはやくもつてきてくりやといわれ	幸介は吉原のおかみさんやあかぬけた娘たちに「いい女を連れて、いい酒を早く持ってきてくれ」と言われ、
kusazoushi/0584B8444CBC127EDC3039735235723D	4	5	いゝ酒はわすれてもゑゝ子はといはれた	「いい酒は忘れても、いい女は」と言われた。
kusazoushi/0584B8444CBC127EDC3039735235723D	4	6	かなによりうれしくたちまちもつてくるやうなきだてなれは	何よりも嬉しく、たちまち連れて来そうな性分なので、
kusazoushi/0584B8444CBC127EDC3039735235723D	4	7	ふだんわ■してしりをはしより	普段からわざと尻の端から動き始める。
kusazoushi/0584B8444CBC127EDC3039735235723D	5	1	うちを出てもきんしよをはなれるとしりをおろして	家を出ても吉原から離れるとすぐに腰を下ろし、
kusazoushi/0584B8444CBC127EDC3039735235723D	5	2	たゞあそこのかみゆひとこ【髪結床】	ただあそこの髪結床。
kusazoushi/0584B8444CBC127EDC3039735235723D	5	3	こゝのじしんばん【自身番】のゑんはなへよこたおしになつて	ここにある自身番の縁端が横倒しになっていて、
kusazoushi/0584B8444CBC127EDC3039735235723D	5	4	あそこのにやうぼう【女房】はいきたの	あそこの女房は行ったのか。
kusazoushi/0584B8444CBC127EDC3039735235723D	5	5	こゝのむすめはざつたのといふよふなはなしがおもしろく	ここの娘は『ざった』というような面白い話があって、
kusazoushi/0584B8444CBC127EDC3039735235723D	5	6	たちまちこのごろはしほからでもくつたよふなこへになり	たちまちこのごろはどこから見てもみすぼらしい場所になってしまい。
kusazoushi/0584B8444CBC127EDC3039735235723D	5	7	もし此中向ふうらの【向こう裏　か】大工のかみさんかねてたのに	もしこの中、向こう裏の大工のかみさんが寝てたのに、
kusazoushi/0584B8444CBC127EDC3039735235723D	5	8	たつたひとついるふとん□□□□さんか　【に？五郎さんか】ねていて	たった一つ入る布団に五郎さんか寝ていて、
kusazoushi/0584B8444CBC127EDC3039735235723D	5	9	わしがゆくと酒五合のんで□□□おいたした【追い出した】	わしが行くと酒を五合飲んで追い出した。
kusazoushi/0584B8444CBC127EDC3039735235723D	5	10	あとてきさつたら【気障ったらしい　か】しいもんだ	あとで気障ったらしいもんだ。
kusazoushi/0584B8444CBC127EDC3039735235723D	6	1	こいつはとんた事をゆうやつだ	こいつはとんでもないことを言うやつだ。
kusazoushi/0584B8444CBC127EDC3039735235723D	6	2	御用まあいつてきてまたあそべ	「さっさと用を済ませて、また遊びに来い」
kusazoushi/0584B8444CBC127EDC3039735235723D	6	3	それにひきかへ徳吉はあさからはんまて内へ百度まいりして用をたしかみもふたんすゝはきのやうにしてみゝもゑりもまつくろになつてあるき	それに引き換え徳吉は、朝から晩まで内へ百回も参りして用を確かめ、普段の掃き溜めのように働くので、耳も襟も真っ黒になって歩いていた。
kusazoushi/0584B8444CBC127EDC3039735235723D	6	4	きん所の子どもが五六人むくろんじをもちふきむしをし【ムクロジのシャボン玉遊びか】たりあるいはけてあつたをとりてあそぶをつく〴〵見ておもしろくなり	近所の子どもが五、六人、ムクロジの実でシャボン玉を作ったり、凧を揚げて遊んでいるのをじっと見つめて、面白くなった。
kusazoushi/0584B8444CBC127EDC3039735235723D	6	5	どふぞおれもしてみたいとおもへともむくろんしもなく	どうか俺もやってみたいと思うのだが、どうにもできそうにない。
kusazoushi/0584B8444CBC127EDC3039735235723D	7	1	二三日も心かけとふり【通り？】の店下にてむくろんけしやうろんけをはじめ仕合とひとつのむくが六ツ七ツになりよ【余】はたいせつにぬのこし上ヶ【布腰上げ】の中へおしこみねるにもおさへてねるほどに大事にしてまた二ツふへ三ツふへのちには二三十にもなりけり	二、三日も心をかけて店先で貯め始めた品々は、一つが六つ七つになり、余った分は大切に布の腰袋の中へ押し込み、寝る時も抑えて寝るほど大事にしていた。さらに二つ三つ加えるうちに、やがて二、三十にもなった。
