document_id	paragraph_id	sentence_id	source_sentence	target_sentence
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	1	1	芝居絵手本　四天王宿直着綿　市村坐　十一四天王宿直着綿　市村座進上	芝居絵手本 四天王宿直着綿 市村座 十一 四天王宿直着綿 市村座進上
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	2	1	四天王宿直着綿（してんのうとのゐのきせわた）	四天王宿直着綿（してんのうとのいのきせわた）
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	3	1	ひいき【登場人物】奴中波四五平【役者】儀蔵	贔屓奴中波四五平儀蔵
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	4	1	源のより親ゑもんの尉ときあきらと一味して先帝をくらいさだめの御ゆいでう【遺状】ふんじつ【紛失】をさいわいにみとしろのしん王を位につけ	源頼親はゑもんの尉と時顕と共謀し、先帝を暗殺した。定めの御遺状の紛失を幸いと見なして新王を位につけ、
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	4	2	頼光をうしない其身天下のぶせうとならんとたくみ	頼光を殺し、自ら天下を望んでなろうと策謀した。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	4	3	じゆんれいを見とがめ花山のゐんをとりこにせんとする	定めの手順に疑義を呈し、花山院を捕虜にせんとした。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	5	1	【登場人物】のせ八郎【役者】伝五郎	のせ八郎伝五郎
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	6	1	人皇六十五代のみかど花山ゐん大内をしのひ出	第65代天皇・花山院が御所を忍び出た。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	6	2	ぶつもんに入給ふ	仏門に入られる
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	6	3	【登場人物】くわさんいん【花山院】【役者】いせの【右ページ下】【登場人物】みなもとのよりちか【源頼親】【役者】小次郎	花山院（かさんのいん）いせのみなもとのよりちか小次郎
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	7	1	ひろつな花山ゐんをかこいよりちかとあらそふ	広綱は花山院を包囲し、頼親と争った。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	7	2	【登場人物】みの田の源太ひろつな【箕田源太広綱】【役者】又太郎【坂東又太郎】	みの田の源太ひろつな又太郎
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	7	3	【登場人物】大江左きん吾【『歌舞伎年表』では大江小金吾】【役者】政蔵【尾上政蔵】	大江左きん吾政蔵
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	7	4	【左ページ】	
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	7	5	【登場人物】ごうどうのてうぼん【強盗の張本】はかまたれやす介【袴垂(藤原)保輔】【役者】仲蔵	ごうどうのてうぼんはかまたれやす介仲蔵
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	8	1	左大将【？】女□□さんどみつ書を見とがめられてごめにせし所を梅の木のうろよりやす介左大将をさしころしみつ書をうばいせうぞくをはぎ取より	左大将が女□□さんどみつの文書を問題視して御目に遭った所を、梅の木のうろより、やす介が左大将を刺し殺し、密書を奪い、賊衆からはぎ取った。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	8	2	親にたのまれにせちよくしとほり【なり】	親に頼まれて政治的な任務を遂行したのだ。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	8	3	保まさ【保昌】のやかたへ　入こ　む	平井保昌の屋敷に入る。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	8	4	やすゝけせんていれいぜいゐんのくらい定の御ゆいでうをぬすみ取二のせ庄司【？】をがいせし	やす介は仙底霊泉院の位定の御遺状を盗み取り、二ノせ庄司を害した。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	8	5	おり兄保昌にゆつられしふたばのふゑを取りをとせしが	やす介は兄・保昌に譲り渡した。双葉の笛を奪い取ったが、
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	8	6	日本をつりがへの【釣替えの(引き換えの)】御ゆいでう手に入し	日本を釣替えの御遺状で手に入れた。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	8	7	と女房にものがたりよろこぶ	と女房に物語を喜んだ。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	9	1	【登場人物】ひげ黒の左大将【源氏物語の登場人物】【役者】伴【仲？】五郎【】	ひげ黒の左大将伴（仲？）五郎
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	9	2	【登場人物】くさ花うりおしづ実ははかまたれ【袴垂】女房小笹【役者】乙女【瀬川乙女】	くさ花 うり おしづ実 ははかま たれ 女房 小笹乙女（瀬川乙女）
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	9	3	【登場人物】うすいあら太郎定光【碓井荒太郎定光(貞光)】【役者】松助	うすいあら太郎定光松助
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	9	4	【登場人物】源より光【源頼光】【役者】宗十郎【左ページ上段、本文】	源頼光宗十郎
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	10	1	よりみつごやくのやまい【御薬の病(貴人の病気)】にて四てん王とのゐして頼光をなぐさめ	源頼光は御薬の病に伏しており、四天王が宿直で慰めていた。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	10	2	かづらき山のつちをもつて作りしうねめ【？】と名付しかわらけ	葛城山の土で作った「うねめ」と名付けた土器を用意し、
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	10	3	又あさか山といへる名しゆ【酒】をすゝむるおりからくも【蜘蛛】のさがりしをあやしみ	朝霞山という名酒を勧めている最中、折から蜘蛛が降りてきたのを不審に思った。
kusazoushi/0C6CFFA08478F3D8BAB8E0AC8A5F3BC6	10	4	此かはらけこそどく有と打くたかんとする所へしづく　【坂田】金時【渡辺】綱引立に出つ	「この土器に毒が仕込まれている」と打ち壊そうとした瞬間、金時と綱が姿を現す。
