document_id	paragraph_id	sentence_id	source_sentence	target_sentence
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	1	1	御存の化物	御存じの化物
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	2	1	【以下と内容は同じです→大昔化物双紙 2巻・ https://honkoku.org/app/#/transcription/4B5A859D5566995808D7844291EF99C8/1/?ref=%2Fprojects%2Fkusazoushi%2Fcollections%2F8D9A19D520D25828E144B163972281E4】寛政四年【1792年】	寛政四年（1792年）
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	2	2	御存しの化物	御存じの化物
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	3	1	桜川慈悲成作	桜川慈悲成作  
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	3	2	歌川豊国画	歌川豊国画  
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	3	3	二冊	二冊
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	4	1	御ぞんしのゑちごのくにの大にうだう一子を一ツめ小ぞうとてちやうあいしけるに	御存じの越後の国の大入道が、一人息子を一ツ目小ぞうとして寵愛していたところ。
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	4	2	此小ぞうおやにおとらぬばけごうしやにてありしかばあまたのばけものにうだうにいふやう一ツめどのいまはあつはれのばけやうなれば	この小ぞうは、親に劣らない化けの力量を持っていたため、数多の化け共が入道に申し上げるようには「一ツ目殿は今やあっぱれな化け様なれば」、
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	4	3	にうだうはゐんきよして世を一ツめにゆずり給へとすゝめけれはにうだうもなかまのすゝめによりてわが一ツのめをくりぬき小ぞうにゆづり	入道は隠居して世を一ツ目殿にお譲りくださいと勧められたので、入道も仲間の勧めによって、我が一つの目をくりぬき小ぞうに譲り、
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	4	4	わがみはめひとつぼうとあらため世をのがれてくらしける	我が身を片目の僧と改め、世を逃れて暮らしていた。
kusazoushi/0E6BFA83690E76BE9BF12C64824DF76C	5	1	小ぞうめに世をはわたしたかあじをやればいゝが	「こぞうめに世を渡したか、味をやればいいが」
