document_id	paragraph_id	sentence_id	source_sentence	target_sentence
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	1	1	化物七段目【読みは、ばけものしちだんめ】	化物七段目（読みは、ばけものしちだんめ）
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	2	1	【別本が、東京都立中央図書館 加賀文庫にあり】	
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	2	2	【新日本古典籍総合DBで画像を見る→https://kotenseki.nijl.ac.jp/biblio/100053320/viewer】	
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	3	1	天明四辰	天明四辰
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	4	1	化物七段目幾次茂内著上下	『化物七段目』幾次茂内　著　上下巻  
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	4	2	【著者名は巻末にもあり、幾治茂内と見える】	  
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	4	3	天明四辰年	天明四辰年
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	5	1	こゝにみな〳〵さまごぞんじのみこしにうだう【みこし入道】がまごにのつべ【別本より判読】らにうどう【のっぺら入道】といふものありて	ここに皆々様ご存じの御輿入道が、孫に（別本より判読）のっぺら入道という者がおりまして。  
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	5	2	つく〴〵おもひけるはとかく【別本より判読】このごろはどんなにおもしろくばけてもにんげんもわからず	つくづく思ったことには、とかくこの頃はどんなに面白く化けても人間には分からず、  
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	5	3	ばけかたもおやのゆづりもくろくどをりはばけてしまふどふもしかたなく	化け方も親譲りの術もまるで役に立たず、どうにも手の施しようがなくて。  
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	5	4	これからはばけものもぶつほう【仏法】にいらんとかいちやう【開帳】をせんとだんかうする	これからは化物も仏法に組み込んで開帳を断行する。  
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	5	5	おらがだんなでら本じよのねかう、いんさまでした【本所の回向院のダジャレで猫ゥ院、本所の回向院で江戸時代に出開帳が良く行われた】らはやとおもふ	「我が旦那でら、本所の回向院を猫ゥ院と洒落て（いんさまでした＝院様でした）ら、早くも気がついたわい」
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	6	1	いかさまかいちやうをしてみよふ	いかさま開帳をやってみよう
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	6	2	まづなにがよかろうとおもわつしやる	まず何が良かろうかと考え始める
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	6	3	子くいのゑんまはどうだろう	子喰いの閻魔はどうだろう
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	7	1	【絵の下】	
kusazoushi/135502A2F822D6BCC2DBC7616C4118AE	7	2	おれがおもひつきはばけちそう	私が思い付いたのは化け地蔵だ。
