document_id	paragraph_id	sentence_id	source_sentence	target_sentence
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	1	1	《割書：見たき｜もの》化物楽屋異牒　山東鶏告【ばけものがくやいてう、ばけものがくやいちょう】【さんとうけいこう】	化け物楽屋異牒　山東鶏告
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	1	2	《題：《割書：新｜版》《割書：見｜た｜き｜も｜の》化物楽屋異牒（ばけものがくやいてう）《割書：上》《割書：西｜【屋号紋㊉】｜宮》》	化け物楽屋異牒（ばけものがくやいてう）
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	1	3	【枠内】⛩【鳥居のマーク】小便無用	⛩小便無用
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	2	1	叙　京伝誌	叙　京伝誌
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	3	1	見たきものと題（だい）せるは清女（せいしよ）のことの葉にもあらず	「見たきもの」と題するのは、清女（せいしょ）の『ことの葉』のようなものでもない。  
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	3	2	はた日奇（ひよせ）【日寄？】の題にもあらず	はた日奇（ひよせ）の題でもない。  
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	3	3	唯（たゞ）怪物（はけもの）の楽屋（がくや）をのそきてこわき物 程（ほど）見たきは【目てたきは？】あらじと見るにや	ただ怪物の楽屋を覗き見して、これほど恐ろしいものを見たいとは、まさかあるまいと見えるのだろうか。  
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	3	4	予それがさうしを校合（きやうこう）せしにちふみこらのひやうしにかいつくる事左のごとし	私がその草子を校合した際、ちふみこらの評しに基づいてまとめた事柄は次の通りである。
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	4	1	　此ぬし	　この主
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	5	1	にしの宮	西の宮  
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	5	2	此本何方へまいり候とも御覧の上早々御求可被下候	この本はどちらへ参りましても、ご覧の上早々にご購入くださいますようお願い申し上げます。
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	6	1	むかし〳〵とはまん八【？】きよねんしのたぞめの大たてものくすのはが弟きつねこんくはいといふものあり	昔々、万八紀年の田染めの大建物楠の葉が弟狐、今九杯というものがいた。
kusazoushi/138986F6153E71C2DA4DCA901E3F87B9	6	2	もゝくり三ねんかき八ねんしていきとしいけるものいつれかくがい【苦界】ならざるはなし	三年をかき八年を経て、生きとし生けるもの、いずれか苦界ならざるはなし。
