document_id	paragraph_id	sentence_id	source_sentence	target_sentence
kusazoushi/145C42718D569ABB323EF75C9EDF2179	1	1	208【印「特別」】648	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	1	【題簽】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	2	津以曽無弟甚六　完	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	3	【検索用タイトル：津以曽無弟の甚六】安永九年　◯　め208	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	4	【印「特別」】648	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	5	【題簽】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	6	津以曽無弟甚六　《割書：通笑作｜清長画》　三冊	津以曽無弟甚六　《割書：通笑作｜清長画》　三冊
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	1	こゝにいけやの九平といふものあり	ここに池屋の九平という者がいる。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	2	さま〳〵とかきかなんしけるがしやうとくりちぎにててんのめぐみによりそふおうよりよきあきんとゝなり	様々に書き記そうとしたが、我勝ちに取り決めをして、天神様の加護により添い、王より優れた商人となる。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	3	家のよつきに一子をもうけなを吉松とつけ	家の良き時に一子をもうけ、なお吉松と名付けた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	4	はつめいにておとなしくいしねつきとじなんができ	聡明で大人しく、意志熱く実直に育った。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	5	なを甚六とつけてふあいかきりなくよろこぶ	さらに甚六と名付け、深い喜びに満ちていた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	1	【図中の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	2	あたまてん〳〵をしろよいこわどれだ	頭に点々を白く塗れ。いい子にしてるんだぞ！
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	3	あすはおやすみだからよくならいやれかゝさんおべんとうをよこしな 	「明日は休みだからしっかり習いやれ。母さん、弁当をよこしな。」
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	4	【右丁】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	5	たとへのふしにそうりやうの甚六とあにのなにはいくらもせけんに有物	例え話に宗良の甚六と兄の名は幾らも世間にあり物
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	6	おとゝのなにはよかろふとおもひおやぢのおもひつきにてつけたれども	弟の名前は良いだろうと思い、親父の思いつきでつけたけれども
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	7	百のくちが四文ぜにて十六文ほとぬけあないちをすればいつでもきんちやくのそこをはたき	百の口が四文銭で十六文ほど抜け合い一をすれば、いつでも金銭の底を掃き...
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	8	たこをあけるといとめばかりもちめかくしのおにゝなるとてまへばかりなぶられ	凧を開けると糸目ばかり持たれた隠し鬼となって、前ばかり虐められ
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	9	そのうへ百とのかしおにゝなればしやふがい	その上、百もの巾着鬼になれば、しようがない。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	1	【左丁】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	6	1	おにのかぶはぬけづとのさま事をしてあそふとむまになりぞふりかくしはかいをくふてせなかをつちたらけにしみのなるきははなからしれる	鬼ごっこで抜け駆けのような真似をして遊んでいると、馬のように暴れ回る。隠し持った貝殻を噛み砕いて背中を泥だらけにし、染みのついた木の枝が端から折れていく。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	6	2	あにの吉松ともだちつきやいもせずかんがくいんのすゞめはもうきふをさへづるしせんと下いちりんをみならひ	兄の吉松は友達付き合いもせず、学問所の勧めでさらに厳しい修行を重ね、下働きの者たちを見習っていた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	6	3	まへかみの内からそうばわりまておほへおとゝの甚印を見てきのどくにおもふ	前髪が生え際から首筋までびっしょり汗で濡れるほどに鍛え上げ、弟の甚六の様子を見て気の毒に思っていた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	1	【右丁、下の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	2	ごよふしんになれかしこはないよ	修業真になれせよ。これはない。よ。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	3	甚六だん〴〵せいじんしけるゆへ	甚六はだんだんと一人前になっていく。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	4	よふ〳〵てならひにやりけれどもついたちのやすみから廿五日をまちかね	基礎を築いたゆえに次第に手習いに励みけれども、一日の休みから二十五日を待ちかねて
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	5	天神さまのあづきもちばかりのあてゞてならいをしてとかくやすみをたのしみししやう	天神様のお守りだけを当てにして習い事をし、とかく休みを楽しみにしていた様子。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	6	さまがかせをひくとよろこびなんでもやすむつもりてならひはさかにくるまをおすごとくといへともつくへにかゝるとふねばかりこいでいる	様が采配を振ると喜んで何でも休むつもり稽古は坂道で車を押すようにと言えども、つくべにかかると舟ばかり漕いでいる
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	7	あとのものにおいぬかれてもかまわずさうしゑはならわいてかほへばかりならいぎやうぎがわるくてししやう	後の者に追い抜かれても構わずそうしている。絵を習っては顔ばかりに気を取られ、行儀が悪くて師匠を困らせる。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	8	さまの【左丁】事まてわるくいわせこのかわいさに	様のことまで悪く言わせるこの可愛さに  
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	9	あのししやうはねつからおしへぬから	あの師匠は根っから教えぬから  
kusazoushi/145C42718D569ABB323EF75C9EDF2179	7	10	ほかのへやつたがよいといふよふにするはこまつたものなり	他の部屋の方が良いと言い張るのは困ったものだ。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	8	1	【右丁下の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	8	2	にんきよ【？】かくこはあたまかくもふるいからなんともおもわぬ	にんきよかくこは頭を隠すのも古いから全く思いがけない。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	8	3	【左丁下の言葉】しかうして	そうして
kusazoushi/145C42718D569ABB323EF75C9EDF2179	8	4	源太郎とのならわつしやい	源太郎との習わし合い
kusazoushi/145C42718D569ABB323EF75C9EDF2179	8	5	【左丁。師匠の妻の言葉】もふとうふやかまいりましたおひるになさりませ	もうお昼が参りましたお昼になさりませ
kusazoushi/145C42718D569ABB323EF75C9EDF2179	9	1	【右丁】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	9	2	もはや吉松はよいわかいものになりおとなしきうちによめをもらわんそうおうなる所へやくそくしてきわまり吉日をゑらみしるしをやるつもりになり	もはや吉松は立派な若者となり、大人しい性格のまま嫁をもらうに相応しい縁談が整い、吉日を選んで結納の品を贈るつもりになった。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	9	3	あほうな子はなをかわゆいとおとゝの甚六ひとりまへにていかぬやくしやなれといつまても天川やのでつちのやうにまへかみてもおかれず	あほうな子は名を可愛いと、弟の甚六を一人前にしようとする役者なれど、いつまでも天川の泥のように前髪を結い直すことも許されず。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	9	4	ゆいのうのしうぎをさいわいにけんふくさせけるがこどものときはつめいよりこのくらいがよいかけんとでいりのいしやとのゝ見たてそればつかりがたのしみは百両とみのふだにきつているやうなものなり	結納の祝儀を幸いに整えたが、子供の頃は詰め込みよりこの加減が良かろうと、出入りの医者の見立て。そればかりが楽しみは、百両札に刻まれた数字のようなものなり。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	10	1	【右丁下。甚六の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	10	2	びんがあつくてもよいいたくてならぬ	「瓶が熱くたって構わねえ、痛くてたまらねえ！」
kusazoushi/145C42718D569ABB323EF75C9EDF2179	11	1	【右丁下から左丁下へ。吉松の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	11	2	次介とんほんたに【本田(髷)に】してやらしやれ	「次介を本田髷に致しなさい。」
kusazoushi/145C42718D569ABB323EF75C9EDF2179	12	1	【左丁。九平の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	12	2	こふくやへ人をやつてみやれ	「呉服屋へ人をやってみろ。」
kusazoushi/145C42718D569ABB323EF75C9EDF2179	12	3	なんぼふたかさねてももふできそふなものしや	「なんぼ二枚重ねても、もうできそうにないもんじゃ。」
kusazoushi/145C42718D569ABB323EF75C9EDF2179	13	1	【右丁】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	13	2	さい上吉日なれば吉松によめをむかへふたおやのよろこびいわんかたなく	最上の吉日であるため、吉松に嫁を迎え、両親の喜びは言いようもなく、
kusazoushi/145C42718D569ABB323EF75C9EDF2179	13	3	みな〳〵せんしうばんぜいをしゆくし	皆々が千祝万歳を祝った。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	14	1	そうりやうといふものはばかにきわまつたものではなし	宗領というものは馬鹿げたものではない。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	14	2	すこしゆふなものなりよりとも公はしばいてははんとうにすれとそうおやだまとなり	少し優れたものであれども、公が厳しく鍛えれば真にすれば宗家の玉となる。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	14	3	よしつね公よし中こうはちゑがこぼるゝほどあつてもそここゝといそうろふに成給ふ	義経公や義仲公は知恵が溢れるほどあっても、あちこちと奉公におなりになる。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	14	4	それにひきかへ吉松そうりやうの【左丁】ようにはなくこせ〳〵とせいをだしもの事にぬけめなくかせきけり	それに引き換え、吉松宗領のようにはなくこせこせと精を出し、物事に抜け目なく稼ぎ働いた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	15	1	【右丁中ほどの言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	15	2	てんきもよろしうべつしてめてたふそんじます	天気も良く晴れ渡って、めでたく存じます。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	16	1	【右丁下の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	17	1	うつくしいものだとしやくといふところかある	美しいものだと芍薬というところがある
kusazoushi/145C42718D569ABB323EF75C9EDF2179	17	2	【左丁右下の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	17	3	おとゝがこなたのおせわでござろふたのみ ます	弟がこちらのお世話でございます二服いたします。
