document_id	page_id	paragraph_id	sentence_id	source_sentence	target_sentence
kusazoushi/145C42718D569ABB323EF75C9EDF2179	1	1	1	208【印「特別」】648	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	1	2	2	【題簽】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	1	2	3	津以曽無弟甚六　完	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	1	2	4	【検索用タイトル：津以曽無弟の甚六】安永九年　◯　め208	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	2	5	【印「特別」】648	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	2	6	【題簽】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	2	2	7	津以曽無弟甚六　《割書：通笑作｜清長画》　三冊	津以曽無弟甚六　《割書：通笑作｜清長画》　三冊
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	3	8	こゝにいけやの九平といふものあり	ここに池屋の九平という者がいる。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	3	9	さま〳〵とかきかなんしけるがしやうとくりちぎにててんのめぐみによりそふおうよりよきあきんとゝなり	様々に書き記そうとしたが、我勝ちに取り決めをして、天神様の加護により添い、王より優れた商人となる。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	3	10	家のよつきに一子をもうけなを吉松とつけ	家の良き時に一子をもうけ、なお吉松と名付けた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	3	11	はつめいにておとなしくいしねつきとじなんができ	聡明で大人しく、意志熱く実直に育った。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	3	12	なを甚六とつけてふあいかきりなくよろこぶ	さらに甚六と名付け、深い喜びに満ちていた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	4	13	【図中の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	4	14	あたまてん〳〵をしろよいこわどれだ	頭に点々を白く塗れ。いい子にしてるんだぞ！
kusazoushi/145C42718D569ABB323EF75C9EDF2179	3	4	15	あすはおやすみだからよくならいやれかゝさんおべんとうをよこしな 	「明日は休みだからしっかり習いやれ。母さん、弁当をよこしな。」
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	4	16	【右丁】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	4	17	たとへのふしにそうりやうの甚六とあにのなにはいくらもせけんに有物	例え話に宗良の甚六と兄の名は幾らも世間にあり物
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	4	18	おとゝのなにはよかろふとおもひおやぢのおもひつきにてつけたれども	弟の名前は良いだろうと思い、親父の思いつきでつけたけれども
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	4	19	百のくちが四文ぜにて十六文ほとぬけあないちをすればいつでもきんちやくのそこをはたき	百の口が四文銭で十六文ほど抜け合い一をすれば、いつでも金銭の底を掃き...
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	4	20	たこをあけるといとめばかりもちめかくしのおにゝなるとてまへばかりなぶられ	凧を開けると糸目ばかり持たれた隠し鬼となって、前ばかり虐められ
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	4	21	そのうへ百とのかしおにゝなればしやふがい	その上、百もの巾着鬼になれば、しようがない。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	5	22	【左丁】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	6	23	おにのかぶはぬけづとのさま事をしてあそふとむまになりぞふりかくしはかいをくふてせなかをつちたらけにしみのなるきははなからしれる	鬼ごっこで抜け駆けのような真似をして遊んでいると、馬のように暴れ回る。隠し持った貝殻を噛み砕いて背中を泥だらけにし、染みのついた木の枝が端から折れていく。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	6	24	あにの吉松ともだちつきやいもせずかんがくいんのすゞめはもうきふをさへづるしせんと下いちりんをみならひ	兄の吉松は友達付き合いもせず、学問所の勧めでさらに厳しい修行を重ね、下働きの者たちを見習っていた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	6	25	まへかみの内からそうばわりまておほへおとゝの甚印を見てきのどくにおもふ	前髪が生え際から首筋までびっしょり汗で濡れるほどに鍛え上げ、弟の甚六の様子を見て気の毒に思っていた。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	7	26	【右丁、下の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	4	7	27	ごよふしんになれかしこはないよ	修業真になれせよ。これはない。よ。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	7	28	甚六だん〴〵せいじんしけるゆへ	甚六はだんだんと一人前になっていく。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	7	29	よふ〳〵てならひにやりけれどもついたちのやすみから廿五日をまちかね	基礎を築いたゆえに次第に手習いに励みけれども、一日の休みから二十五日を待ちかねて
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	7	30	天神さまのあづきもちばかりのあてゞてならいをしてとかくやすみをたのしみししやう	天神様のお守りだけを当てにして習い事をし、とかく休みを楽しみにしていた様子。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	7	31	さまがかせをひくとよろこびなんでもやすむつもりてならひはさかにくるまをおすごとくといへともつくへにかゝるとふねばかりこいでいる	様が采配を振ると喜んで何でも休むつもり稽古は坂道で車を押すようにと言えども、つくべにかかると舟ばかり漕いでいる
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	7	32	あとのものにおいぬかれてもかまわずさうしゑはならわいてかほへばかりならいぎやうぎがわるくてししやう	後の者に追い抜かれても構わずそうしている。絵を習っては顔ばかりに気を取られ、行儀が悪くて師匠を困らせる。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	7	33	さまの【左丁】事まてわるくいわせこのかわいさに	様のことまで悪く言わせるこの可愛さに
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	7	34	あのししやうはねつからおしへぬから	あの師匠は根っから教えぬから
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	7	35	ほかのへやつたがよいといふよふにするはこまつたものなり	他の部屋の方が良いと言い張るのは困ったものだ。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	8	36	【右丁下の言葉】	
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	8	37	にんきよ【？】かくこはあたまかくもふるいからなんともおもわぬ	にんきよかくこは頭を隠すのも古いから全く思いがけない。
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	8	38	【左丁下の言葉】しかうして	そうして
kusazoushi/145C42718D569ABB323EF75C9EDF2179	5	8	39	源太郎とのならわつしやい	源太郎との習わし合い
